Date,Price,Open,High,Low,Volume
18-Sep-23,"3,606.15","3,580.05","3,619.30","3,575.25",1.40M
15-Sep-23,"3,598.30","3,567.85","3,607.35","3,562.45",2.95M
14-Sep-23,"3,560.05","3,570.05","3,597.70","3,545.60",2.60M
13-Sep-23,"3,567.85","3,571.10","3,588.85","3,545.00",1.75M
12-Sep-23,"3,580.80","3,492.00","3,589.90","3,483.00",4.48M
11-Sep-23,"3,480.65","3,462.00","3,485.70","3,445.00",1.78M
8-Sep-23,"3,441.90","3,455.25","3,465.00","3,435.05",1.52M
7-Sep-23,"3,455.25","3,430.80","3,460.00","3,422.30",1.89M
6-Sep-23,"3,429.90","3,434.00","3,443.90","3,398.10",1.31M
5-Sep-23,"3,429.35","3,420.00","3,447.00","3,405.15",1.50M
4-Sep-23,"3,418.50","3,378.00","3,432.85","3,370.05",1.83M
1-Sep-23,"3,379.20","3,366.00","3,389.00","3,356.80",1.28M
31-Aug-23,"3,356.80","3,401.00","3,417.40","3,343.65",3.42M
30-Aug-23,"3,390.95","3,398.00","3,408.10","3,383.05",1.19M
29-Aug-23,"3,376.15","3,381.05","3,389.55","3,365.00",944.52K
28-Aug-23,"3,375.55","3,394.00","3,394.00","3,360.10",1.04M
25-Aug-23,"3,381.30","3,375.00","3,385.80","3,350.25",1.16M
24-Aug-23,"3,387.75","3,408.00","3,413.05","3,378.10",1.15M
23-Aug-23,"3,398.25","3,388.00","3,402.00","3,376.00",1.33M
22-Aug-23,"3,382.15","3,400.00","3,411.00","3,365.05",1.22M
21-Aug-23,"3,401.65","3,375.00","3,409.75","3,372.00",1.38M
18-Aug-23,"3,367.10","3,410.00","3,410.00","3,356.50",2.53M
17-Aug-23,"3,435.75","3,455.00","3,460.80","3,413.20",1.84M
16-Aug-23,"3,458.40","3,450.00","3,466.00","3,435.20",1.33M
14-Aug-23,"3,449.85","3,440.70","3,455.00","3,411.00",1.19M
11-Aug-23,"3,448.80","3,438.10","3,466.65","3,414.00",1.68M
10-Aug-23,"3,442.10","3,450.00","3,464.90","3,430.05",1.10M
9-Aug-23,"3,462.50","3,464.90","3,467.00","3,425.05",1.79M
8-Aug-23,"3,470.60","3,484.05","3,489.95","3,456.60",1.63M
7-Aug-23,"3,484.05","3,453.95","3,488.00","3,441.25",1.85M
4-Aug-23,"3,443.55","3,401.25","3,471.00","3,401.25",2.25M
3-Aug-23,"3,399.95","3,420.00","3,433.25","3,368.00",2.03M
2-Aug-23,"3,440.65","3,434.95","3,446.40","3,413.60",1.91M
1-Aug-23,"3,452.05","3,415.00","3,460.00","3,415.00",1.96M
31-Jul-23,"3,421.45","3,364.40","3,426.65","3,360.90",2.74M
28-Jul-23,"3,355.40","3,385.00","3,393.70","3,331.00",2.60M
27-Jul-23,"3,396.90","3,394.95","3,411.65","3,385.05",1.70M
26-Jul-23,"3,388.30","3,400.35","3,420.85","3,385.00",1.07M
25-Jul-23,"3,399.15","3,397.50","3,406.80","3,380.20",1.27M
24-Jul-23,"3,394.75","3,381.00","3,413.45","3,372.10",1.68M
21-Jul-23,"3,368.30","3,404.05","3,434.90","3,359.05",3.77M
20-Jul-23,"3,463.30","3,453.10","3,478.90","3,436.05",1.72M
19-Jul-23,"3,470.05","3,500.00","3,516.85","3,445.65",2.41M
18-Jul-23,"3,496.85","3,476.00","3,524.00","3,465.00",2.60M
17-Jul-23,"3,491.70","3,510.00","3,549.90","3,477.05",2.74M
14-Jul-23,"3,514.65","3,365.00","3,524.85","3,352.00",6.31M
13-Jul-23,"3,340.55","3,284.00","3,367.45","3,272.75",4.59M
12-Jul-23,"3,259.90","3,280.95","3,289.15","3,250.10",1.52M
11-Jul-23,"3,272.40","3,295.00","3,295.00","3,260.80",1.11M
10-Jul-23,"3,271.95","3,324.75","3,324.75","3,265.20",1.41M
7-Jul-23,"3,329.25","3,302.00","3,356.90","3,302.00",1.79M
6-Jul-23,"3,322.90","3,306.55","3,328.45","3,302.00",1.85M
5-Jul-23,"3,319.95","3,320.00","3,329.00","3,305.00",1.45M
4-Jul-23,"3,308.85","3,290.00","3,315.00","3,277.30",1.66M
3-Jul-23,"3,272.30","3,314.30","3,318.80","3,268.75",1.69M
30-Jun-23,"3,302.25","3,220.00","3,310.00","3,214.10",2.67M
28-Jun-23,"3,215.45","3,208.00","3,230.95","3,193.40",1.58M
27-Jun-23,"3,197.35","3,202.00","3,209.65","3,182.30",863.54K
26-Jun-23,"3,189.65","3,205.00","3,213.90","3,173.00",1.98M
23-Jun-23,"3,216.35","3,237.30","3,249.40","3,209.15",1.12M
22-Jun-23,"3,238.50","3,260.00","3,267.65","3,230.10",1.53M
21-Jun-23,"3,258.20","3,250.00","3,261.40","3,223.95",1.65M
20-Jun-23,"3,227.70","3,214.00","3,232.50","3,201.05",1.53M
19-Jun-23,"3,210.40","3,190.00","3,214.90","3,175.00",1.47M
16-Jun-23,"3,174.90","3,197.00","3,199.40","3,156.00",4.16M
15-Jun-23,"3,216.30","3,245.30","3,247.45","3,210.00",2.27M
14-Jun-23,"3,251.05","3,243.70","3,255.85","3,225.85",1.66M
13-Jun-23,"3,243.70","3,260.00","3,265.00","3,239.00",1.37M
12-Jun-23,"3,246.90","3,215.00","3,254.40","3,211.00",2.32M
9-Jun-23,"3,209.30","3,245.00","3,250.00","3,205.35",1.78M
8-Jun-23,"3,236.45","3,261.00","3,270.00","3,233.00",1.76M
7-Jun-23,"3,274.90","3,253.00","3,278.85","3,241.00",1.57M
6-Jun-23,"3,232.30","3,280.00","3,288.85","3,220.60",2.02M
5-Jun-23,"3,288.90","3,315.00","3,327.00","3,285.05",1.86M
2-Jun-23,"3,305.60","3,326.25","3,335.90","3,297.45",2.03M
1-Jun-23,"3,324.00","3,314.00","3,340.00","3,297.50",1.18M
31-May-23,"3,289.50","3,309.00","3,327.70","3,265.15",5.82M
30-May-23,"3,316.20","3,315.00","3,326.95","3,301.35",1.34M
29-May-23,"3,320.35","3,360.80","3,372.00","3,312.00",1.21M
26-May-23,"3,328.90","3,293.50","3,338.65","3,291.00",1.79M
25-May-23,"3,293.50","3,294.00","3,306.00","3,267.10",1.37M
24-May-23,"3,303.35","3,276.00","3,317.20","3,276.00",1.02M
23-May-23,"3,297.05","3,306.00","3,327.95","3,290.10",1.69M
22-May-23,"3,298.70","3,230.00","3,308.45","3,217.05",1.33M
19-May-23,"3,222.85","3,210.00","3,234.50","3,203.05",1.15M
18-May-23,"3,199.85","3,225.95","3,228.95","3,195.00",1.37M
17-May-23,"3,208.70","3,255.95","3,280.00","3,198.25",1.59M
16-May-23,"3,258.15","3,256.20","3,285.00","3,250.45",986.31K
15-May-23,"3,255.05","3,284.00","3,292.00","3,248.35",1.15M
12-May-23,"3,274.30","3,279.15","3,290.00","3,260.00",1.03M
11-May-23,"3,282.15","3,309.00","3,309.70","3,272.00",1.72M
10-May-23,"3,286.80","3,290.00","3,306.50","3,266.05",1.56M
9-May-23,"3,283.25","3,252.60","3,298.00","3,246.00",1.11M
8-May-23,"3,250.60","3,245.00","3,254.85","3,231.30",928.24K
5-May-23,"3,230.70","3,220.00","3,244.00","3,210.05",1.71M
4-May-23,"3,220.70","3,180.15","3,224.45","3,178.00",1.95M
3-May-23,"3,179.90","3,216.00","3,216.00","3,173.15",2.47M
2-May-23,"3,219.40","3,235.00","3,235.00","3,210.00",2.32M
28-Apr-23,"3,219.25","3,200.40","3,227.25","3,196.25",2.93M
27-Apr-23,"3,187.95","3,185.00","3,199.20","3,170.65",2.43M
26-Apr-23,"3,198.15","3,181.00","3,208.40","3,181.00",2.00M
25-Apr-23,"3,176.00","3,183.00","3,191.20","3,147.50",2.02M
24-Apr-23,"3,174.80","3,151.10","3,180.95","3,126.15",1.64M
21-Apr-23,"3,160.85","3,110.00","3,164.45","3,100.80",1.93M
20-Apr-23,"3,104.80","3,090.00","3,113.00","3,078.00",2.42M
19-Apr-23,"3,089.60","3,130.75","3,140.00","3,071.50",3.30M
18-Apr-23,"3,130.75","3,154.95","3,156.85","3,110.60",2.62M
17-Apr-23,"3,139.50","3,134.10","3,163.40","3,070.25",5.51M
13-Apr-23,"3,188.85","3,210.00","3,230.00","3,180.00",4.17M
12-Apr-23,"3,241.65","3,227.95","3,260.95","3,199.00",2.42M
11-Apr-23,"3,213.80","3,264.00","3,272.95","3,192.15",2.35M
10-Apr-23,"3,263.40","3,220.00","3,272.00","3,215.00",2.20M
6-Apr-23,"3,220.70","3,225.00","3,257.35","3,215.00",1.70M
5-Apr-23,"3,239.80","3,185.50","3,264.35","3,185.50",2.66M
3-Apr-23,"3,200.00","3,224.95","3,224.95","3,173.75",1.52M
31-Mar-23,"3,205.90","3,189.95","3,213.00","3,152.00",2.38M
29-Mar-23,"3,138.90","3,129.00","3,150.00","3,104.10",1.74M
28-Mar-23,"3,115.90","3,127.00","3,149.55","3,110.15",1.30M
27-Mar-23,"3,122.30","3,135.00","3,152.75","3,106.00",1.52M
24-Mar-23,"3,120.50","3,148.90","3,170.00","3,106.00",1.33M
23-Mar-23,"3,124.65","3,114.90","3,146.35","3,101.00",1.37M
22-Mar-23,"3,130.80","3,130.05","3,143.50","3,106.10",1.12M
21-Mar-23,"3,106.10","3,143.30","3,156.75","3,097.45",1.82M
20-Mar-23,"3,143.30","3,169.65","3,169.65","3,095.05",2.29M
17-Mar-23,"3,179.30","3,150.50","3,221.40","3,144.00",6.74M
16-Mar-23,"3,185.00","3,208.00","3,219.80","3,172.00",1.90M
15-Mar-23,"3,198.90","3,250.00","3,260.35","3,192.00",1.78M
14-Mar-23,"3,214.95","3,280.00","3,304.40","3,209.40",2.67M
13-Mar-23,"3,281.95","3,333.00","3,369.80","3,272.00",1.90M
10-Mar-23,"3,331.00","3,312.90","3,337.25","3,290.00",1.02M
9-Mar-23,"3,336.85","3,385.00","3,385.00","3,330.85",1.65M
8-Mar-23,"3,390.40","3,364.00","3,396.00","3,330.85",1.84M
6-Mar-23,"3,371.85","3,361.90","3,404.95","3,359.00",1.33M
3-Mar-23,"3,342.15","3,354.00","3,358.00","3,331.10",1.04M
2-Mar-23,"3,321.45","3,361.00","3,369.90","3,318.00",1.56M
1-Mar-23,"3,385.70","3,323.00","3,389.00","3,315.00",1.67M
28-Feb-23,"3,312.85","3,328.50","3,392.00","3,299.90",4.12M
27-Feb-23,"3,331.85","3,390.00","3,390.00","3,316.00",1.13M
24-Feb-23,"3,400.45","3,422.50","3,433.95","3,382.30",977.59K
23-Feb-23,"3,413.80","3,421.00","3,452.40","3,408.00",1.44M
22-Feb-23,"3,401.55","3,414.95","3,447.00","3,395.00",1.22M
21-Feb-23,"3,451.00","3,494.00","3,508.90","3,444.75",1.14M
20-Feb-23,"3,487.30","3,502.00","3,522.00","3,475.05",1.30M
17-Feb-23,"3,501.15","3,526.15","3,538.90","3,490.00",1.06M
16-Feb-23,"3,558.05","3,527.20","3,575.00","3,527.00",1.62M
15-Feb-23,"3,520.65","3,487.00","3,526.00","3,460.15",1.43M
14-Feb-23,"3,500.10","3,505.00","3,524.85","3,495.00",1.58M
13-Feb-23,"3,482.40","3,549.00","3,549.00","3,473.40",1.09M
10-Feb-23,"3,537.55","3,520.00","3,542.35","3,508.15",1.19M
9-Feb-23,"3,540.85","3,515.00","3,547.60","3,505.30",1.66M
8-Feb-23,"3,520.10","3,478.05","3,539.90","3,478.05",1.99M
7-Feb-23,"3,472.55","3,468.90","3,493.00","3,461.40",1.46M
6-Feb-23,"3,459.95","3,473.15","3,473.15","3,436.85",1.14M
3-Feb-23,"3,482.30","3,504.00","3,504.00","3,452.90",1.80M
2-Feb-23,"3,460.40","3,427.00","3,469.00","3,420.10",1.81M
1-Feb-23,"3,408.35","3,363.00","3,419.00","3,355.00",2.21M
31-Jan-23,"3,358.70","3,449.00","3,449.00","3,351.00",2.82M
30-Jan-23,"3,433.65","3,420.00","3,458.45","3,385.55",1.95M
27-Jan-23,"3,411.05","3,426.00","3,446.00","3,382.30",1.79M
25-Jan-23,"3,429.75","3,425.30","3,435.00","3,405.00",874.11K
24-Jan-23,"3,436.30","3,425.00","3,451.95","3,417.30",1.39M
23-Jan-23,"3,414.90","3,388.00","3,419.00","3,355.60",1.07M
20-Jan-23,"3,363.10","3,365.00","3,394.65","3,355.60",1.53M
19-Jan-23,"3,373.10","3,380.00","3,387.00","3,361.00",1.59M
18-Jan-23,"3,390.00","3,380.00","3,408.95","3,372.25",2.42M
17-Jan-23,"3,378.40","3,330.00","3,381.80","3,321.00",1.69M
13-Jan-23,"3,374.55","3,342.90","3,379.00","3,305.00",1.74M
12-Jan-23,"3,334.35","3,329.00","3,350.00","3,315.55",2.25M
11-Jan-23,"3,328.70","3,290.10","3,349.50","3,271.15",2.72M
10-Jan-23,"3,286.40","3,285.00","3,298.00","3,230.10",3.86M
9-Jan-23,"3,319.95","3,229.00","3,327.00","3,221.15",2.89M
6-Jan-23,"3,211.55","3,300.00","3,301.55","3,200.00",2.49M
5-Jan-23,"3,311.10","3,330.20","3,337.30","3,281.95",1.83M
4-Jan-23,"3,314.65","3,306.70","3,327.35","3,286.20",1.23M
3-Jan-23,"3,311.35","3,252.00","3,320.00","3,245.30",1.25M
2-Jan-23,"3,261.45","3,261.00","3,266.85","3,235.20",709.55K
,,,"3,429.88","3,377.35",
,,,,,
,,,"3,403.62",,
